label,label_hint,hint_reason,similarity,edge_cents,strategy,kalshi_id,kalshi_label,kalshi_yes,kalshi_no,poly_id,poly_label,poly_yes,poly_no
1,1,threshold mismatch (2026.0 vs 0.2),0.835,0.15,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 98.9¢,KXDOGED-26MAR0906-T0.1199999,"Dogecoin price  on Mar 9, 2026? — $0.12 or above",1.0,,0x43637d120b7fede169ca76a7b0111865254737b61a2438dd00925c2f720bb68c,Will Dogecoin reach $0.20 in March?,1.15,98.85
2,2,matching thresholds + jaccard 0.75,0.9294,3.5,YES on Kalshi @ 15.0¢  +  NO on Polymarket @ 81.5¢,KXHOUSERACE-NE01-26-D,Will Democratic win the House race for NE-01? — Democratic party,15.0,91.0,0xc863c70aafc37a92e8d652f6bdf1afb4aee52c9f66bfa3e32a2eb799f8be30cb,Will the Democratic Party win the NE-01 House seat?,18.5,81.5
1,2,matching thresholds + jaccard 0.62,0.9449,0.25,NO on Kalshi @ 98.0¢  +  YES on Polymarket @ 1.8¢,KXEPLTOP2-26-AVL,Will Aston Villa finish in the top 2 in the 2025-26 English Premier League season? — Aston Villa,4.0,98.0,0xbfd8b2eaa211259bf38f86f1e6a6867be94bb8a4748fbed0e45c30eef2b3de83,Will Aston Villa finish in 2nd place in the 2025-26 English Premier League?,1.7500000000000002,98.25
2,2,matching thresholds + jaccard 0.67,0.925,4.0,YES on Kalshi @ 85.0¢  +  NO on Polymarket @ 11.0¢,HOUSECA21-26-D,Will a Democrat win the House race for CA-21? — Democratic party,85.0,22.0,0x44f7e3582eba72648fb5e03cb1dacc0ace21da93285999c7e14642cf91e279bf,Will the Democratic Party win the CA-21 House seat?,89.0,11.0
1,-1,needs review,0.8835,61.0,NO on Kalshi @ 32.0¢  +  YES on Polymarket @ 7.0¢,KXFED-27JAN-T2.50,"Will the upper bound of the federal funds rate be above 2.50% following the Fed's Jan 27, 2027 meeting? — Above 2.50%",75.0,32.0,0x0fe6bc20ffff1a1f3c0b076f2c512fc582fb82be1cf5836b59bbafa17151fb32,Will the upper bound of the target federal funds rate be 2.75% at the end of 2026?,7.000000000000001,93.0
1,-1,needs review,0.8653,6.5,YES on Kalshi @ 50.0¢  +  NO on Polymarket @ 43.5¢,KXAHLGAME-26MAR111900CLEHAR-HAR,Cleveland Monsters vs Hartford Wolf Pack Winner? — Hartford Wolf Pack,50.0,62.0,0x258a9a7514280d4f9244864a6dd49d821968f77fe7feda7c5545792e273064f8,AHL: Cleveland Monsters vs. Hartford Wolf Pack,56.49999999999999,43.5
1,2,matching thresholds + jaccard 0.60,0.8369,13.0,YES on Kalshi @ 82.0¢  +  NO on Polymarket @ 5.0¢,KXSNPMAJORITY-26MAY07-A56,Will SNP win above 56 seats in the 2026 Scottish Parliament election? — Above 56,82.0,19.0,0xc381b79b37b4d34ee7b7a54c0ab5f5d3c5a2a8cc67252d3010649aff1d377bd4,Will Scottish National Party win the most seats in the 2026 Scottish Parliament election?,95.0,5.0
2,-1,needs review,0.925,1.15,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 97.9¢,KXFOWOMEN-26-MUC,Will Karolina Muchova win the French Open? — Karolina Muchova,1.0,100.0,0xa7ebf71bded5eba99e7fa49e81a271063466c49fb1f0b02a2b5f5987916d9558,Will Karolína Muchová win the 2026 Women’s French Open?,2.15,97.85
2,2,matching thresholds + jaccard 0.56,0.9022,9.5,YES on Kalshi @ 14.0¢  +  NO on Polymarket @ 76.5¢,HOUSEMI3-26-R,Will a Republican win the House race for MI-3? — Republican party,14.0,93.0,0x5a9c199f5580fd145622bf822fdcab24c44f24cf3db997db3c6eaea3907578c1,Will the Republican Party win the MI-03 House seat?,23.5,76.5
1,-1,needs review,0.8228,11.5,NO on Kalshi @ 1.0¢  +  YES on Polymarket @ 87.5¢,KXBTCD-26MAR0906-T58499.99,"Bitcoin price  on Mar 9, 2026? — $58,500 or above",,1.0,0x1e9868469a6c2205d1935b5313a993a60015908763a17248098a43bc4ac25d16,"Will the price of Bitcoin be above $66,000 on March 9?",87.5,12.5
1,-1,needs review,0.855,17.5,YES on Kalshi @ 28.0¢  +  NO on Polymarket @ 54.5¢,KXBTCD-26MAR0917-T68999.99,"Bitcoin price  on Mar 9, 2026? — $69,000 or above",28.0,75.0,0x86010dc66556e7b1cd0eb6d82c20f052d3ba3ba6ccdc8864c605268925cbda4f,"Will the price of Bitcoin be above $68,000 on March 9?",45.5,54.50000000000001
0,-1,needs review,0.845,3.0,NO on Kalshi @ 16.0¢  +  YES on Polymarket @ 81.0¢,KX1ALBUM-26DEC-DRA,Will Drake have a #1 album this year? — Drake,89.0,16.0,0x14db5fe75bc6f415da24c368c82e30d72fd58fc6ae631df757a0ceac4de5509b,Will Drake have a #1 song on the Billboard Hot 100 in 2026?,81.0,19.0
2,-1,needs review,0.8807,2.45,NO on Kalshi @ 73.0¢  +  YES on Polymarket @ 24.6¢,KXGOVMDNOMR-26-EHAL,Will Ed Hale be the Republican nominee for Governor in Maryland? — Ed Hale,30.0,73.0,0x16711932e48692c37b0be92837cc09c015063d8cbf124e916f393f143d741af0,Will Ed Hale win the 2026 Maryland Governor Republican primary election?,24.55,75.44999999999999
1,-1,needs review,0.8217,15.05,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 84.0¢,KXNFLDRAFT1-26-CDOW,Who will be picked First in the Pro Football Draft? — Caleb Downs,1.0,100.0,0x31e2f235fcde646ed9626b5b4d6965c0f74301fde4668f49c852c80851606740,Will Caleb Downs be the second pick in the 2026 NFL draft?,16.05,83.95
2,2,matching thresholds + jaccard 0.71,0.9442,7.0,NO on Kalshi @ 91.0¢  +  YES on Polymarket @ 2.0¢,KXAZ01R-26-GSWO,Will Gina Swoboda be the Republican nominee for AZ-1? — Gina Swoboda,11.0,91.0,0xd8cb370f66378e643a5103179e0e5de54e4fb3c09254563a3fca898cba2736e8,Will Gina Swoboda be the Republican nominee for AZ-01?,2.0,98.0
2,-1,needs review,0.8564,2.5,YES on Kalshi @ 6.0¢  +  NO on Polymarket @ 91.5¢,SENATETN-26-D,Will Democratics win the Senate race in Tennessee? — Democratic party,6.0,97.0,0xa0af1b2ca6a3251cad3845f8172febb2182cd7a60744cc9cb685c626e595d0da,Will the Democrats win the Tennessee Senate race in 2026?,8.5,91.5
2,-1,needs review,0.8371,1.85,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 97.2¢,KXGOVCA-26-DMER,Who will win the governorship in California? — Daniel Mercuri,1.0,100.0,0xab0ef8b9a14021286243dbfb24c2c7dba2602b6d2a14c5414d5b79d25de99ec3,Will Daniel Mercuri advance from the 2026 California Governor primary election?,2.85,97.15
2,-1,needs review,0.826,1.45,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 97.5¢,KXNHLADAMS-26-MSUL,Who will win Jack Adams Award? — Mike Sullivan,1.0,100.0,0x1889b996d55f65e4e3c5ebe1882763503a83a9fd4fa7877eb293506d3a47d044,Will Mike Sullivan win the 2025–2026 NHL Jack Adams Award?,2.45,97.55
1,-1,needs review,0.832,87.5,YES on Kalshi @ 2.0¢  +  NO on Polymarket @ 10.5¢,KXBTCD-26MAR0917-T75499.99,"Bitcoin price  on Mar 9, 2026? — $75,500 or above",2.0,99.0,0x1e9868469a6c2205d1935b5313a993a60015908763a17248098a43bc4ac25d16,"Will the price of Bitcoin be above $66,000 on March 9?",89.5,10.5
1,-1,needs review,0.8472,5.55,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 93.5¢,KXNFLDRAFTPICK-26-4-KPRO,Who will be picked fourth in the Pro Football Draft? — Kadyn Proctor,1.0,100.0,0x454aa11751092c4647f69b4abd87e3e67c8aeb5fbcf57eaff637e74d09ea42be,Will Kadyn Proctor be the third pick in the 2026 NFL draft?,6.550000000000001,93.45
1,2,matching thresholds + jaccard 0.62,0.8867,3.5,YES on Kalshi @ 19.0¢  +  NO on Polymarket @ 77.5¢,KXECONSTATU3-26MAY-T4.5,Unemployment rate in May 2026? — Exactly 4.5%,19.0,90.0,0x220f52561358dac152990b5674e447a4a2297528083ebd011138963d95daec74,Will the March 2026 unemployment rate be 4.5%?,22.5,77.5
1,-1,needs review,0.8378,23.5,NO on Kalshi @ 6.0¢  +  YES on Polymarket @ 70.5¢,KXWCGROUPQUAL-26L-ENG,Will England qualify from World Cup Group L? — England,97.0,6.0,0xd3d833727b8191e8611862f431d5fc0286f3fbd8ac70a9b618d8377526e9bdf5,Will England win Group L in the 2026 FIFA World Cup?,70.5,29.5
2,-1,needs review,0.8472,10.5,YES on Kalshi @ 29.0¢  +  NO on Polymarket @ 60.5¢,KXNCAAMBBSKY-26-PRST,Will Portland St. be the Big Sky tournament champions? — Portland St.,29.0,72.0,0x8d2fe9c159cf8563fe926adfd0e414c279b1c1d105d55b303969caf00495434a,Will Portland State win the 2026 Big Sky conference championship?,39.5,60.5
1,-1,needs review,0.8611,10.5,NO on Kalshi @ 65.0¢  +  YES on Polymarket @ 24.5¢,KXHIGHNY-26MAR09-B69.5,"Will the **high temp in NYC** be 69-70° on Mar 9, 2026? — 69° to 70°",36.0,65.0,0x3a2f6007169c900e309c42735dde0216a632fb62ca3e5ab93ff3b6017ee6f7b1,Will the highest temperature in New York City be between 64-65°F on March 9?,24.5,75.5
0,1,threshold mismatch (12.0 vs 2026.0),0.8371,32.5,YES on Kalshi @ 9.0¢  +  NO on Polymarket @ 58.5¢,KXNCAAFB12-26-COLO,Will Colorado win the College Football Big 12 Championship? — Colorado,9.0,98.0,0xa4cbc838e62d5b41b1a29752144db60ececb78b727153cfc0bd4ad02bcf1229a,Will Colorado State win the 2026 Mountain West conference championship?,41.5,58.5
2,-1,needs review,0.8957,1.95,YES on Kalshi @ 3.0¢  +  NO on Polymarket @ 95.0¢,KXHIGHMIA-26MAR09-B80.5,"Will the **high temp in Miami** be 80-81° on Mar 9, 2026? — 80° to 81°",3.0,98.0,0x4b329427fd233c48af7123bc6504a0b3141188828ea4df038faeb3acab13f85f,Will the highest temperature in Miami be between 80-81°F on March 9?,4.95,95.05
1,1,threshold mismatch (9.0 vs 5.0),0.8551,5.7,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 93.3¢,KXOSCARCOUNT-26-MAR-9,How many awards will Marty Supreme win at the Oscars? — Exactly 9,1.0,100.0,0x1f492e75cce65bcfd414108958fff0098952e398e17416fb59ba07c208d41aa7,"Will ""Marty Supreme"" win exactly 5 awards at the Oscars?",6.7,93.3
1,-1,needs review,0.8233,77.6,YES on Kalshi @ 4.0¢  +  NO on Polymarket @ 18.4¢,KXTNOTED-26MAR09-B3.96,"Will the yield of 10-year U.S. treasury notes be between 3.95 and 3.97 on Mar 9, 2026? — 3.95% to 3.97%",4.0,100.0,0x691fa7304e1077b562f51162e445da67de97f3b818a6a7210f66bca34fd2211e,Will the 10-year Treasury yield dip below 3.9% before 2027?,81.6,18.4
1,-1,needs review,0.8469,40.5,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 58.5¢,KXMLBNL-26-STL,Will St. Louis win the 2026 Pro Baseball National League Championship? — St. Louis,1.0,100.0,0x1ff689a0aeee211b14455b5e29400169ef0261de62087d92498ce5a4133f0ae4,Will Saint Louis win the 2026 A-10 conference championship?,41.5,58.5
1,-1,needs review,0.8417,26.35,NO on Kalshi @ 71.0¢  +  YES on Polymarket @ 2.6¢,KXELECTVENEZUELA-27JAN01,"Will Venezuela hold a presidential election before Jan 1, 2027? — Before Jan 1, 2027",30.0,71.0,0xbc27e1a503d5d962491fb41d0f0efd432c222fbfbb484b775ca0def7ed52288c,"Venezuela election scheduled by March 31, 2026?",2.65,97.35
1,-1,needs review,0.8514,66.0,NO on Kalshi @ 8.0¢  +  YES on Polymarket @ 26.0¢,KXUE-UK26FEB-4.7,UK unemployment rate in Feb 2026? — Above 4.7%,100.0,8.0,0xcaa80207d4e015ef74e12c7ff4e8c84dc428746245c8311f1016ae2bd2b3da32,Will the U.K.’s November 2025–January 2026 unemployment rate be ≤5.0%?,26.0,74.0
1,-1,needs review,0.8401,31.5,YES on Kalshi @ 27.0¢  +  NO on Polymarket @ 41.5¢,KXEPL1H-26MAR14BURBOU-BUR,Burnley vs Bournemouth: First Half Winner? — Burnley,27.0,86.0,0xe11a8741d5cdec6a7348c6d03567233a2e64b68cc170edfbed093394fa8fb203,Burnley FC vs. AFC Bournemouth: Both Teams to Score,58.5,41.5
2,2,matching thresholds + jaccard 1.00,0.9702,1.15,NO on Kalshi @ 97.0¢  +  YES on Polymarket @ 1.8¢,KXSURVIVOR-26DEC31-JON,Will Jonathan Young win Survivor Season 50? — Jonathan Young,4.0,97.0,0xe0818e62ab9e8ed5448a486da3dd661b17f4bc388ab3a20c822a1f524cbdeedb,Will Jonathan Young win Survivor Season 50?,1.85,98.15
1,-1,needs review,0.8505,2.95,NO on Kalshi @ 96.0¢  +  YES on Polymarket @ 1.1¢,KXBTCD-26MAR0917-T70999.99,"Bitcoin price  on Mar 9, 2026? — $71,000 or above",5.0,96.0,0x0a8017ee2cf41e3d0def1522398b1f30c2f8b784f6aaf19c198f9f7e67f9dcff,"Will the price of Bitcoin be above $72,000 on March 9?",1.05,98.95
2,2,matching thresholds + jaccard 0.75,0.9333,1.0,YES on Kalshi @ 14.0¢  +  NO on Polymarket @ 85.0¢,KXHOUSERACE-NC07-26-D,Will Democratic win the House race for NC-07? — Democratic party,14.0,93.0,0x16783c25129111d46a927bd3ac7379fa729d485ceeb0960d7ec9697b648aea9f,Will the Democratic Party win the NC-07 House seat?,15.0,85.0
2,2,matching thresholds + jaccard 0.75,0.9438,3.5,YES on Kalshi @ 6.0¢  +  NO on Polymarket @ 90.5¢,HOUSENY18-26-R,Will a Republican win the House race for NY-18? — Republican party,6.0,100.0,0x3f0a0a5731160db5a73bd709c961975a28c40e7f50e559abc3facf985a266024,Will the Republican Party win the NY-18 House seat?,9.5,90.5
0,-1,needs review,0.8275,24.5,YES on Kalshi @ 17.0¢  +  NO on Polymarket @ 58.5¢,KXNCAAFSEC-26-ALA,Will Alabama win the College Football SEC Championship? — Alabama,17.0,90.0,0x0b1f82f05eca6855d98aef9f34da3fb01cb19052dc8d3a412f172ee4f4f23aaf,Will Alabama State win the 2026 SWAC conference championship?,41.5,58.5
1,-1,needs review,0.8258,37.0,NO on Kalshi @ 36.0¢  +  YES on Polymarket @ 27.0¢,KXDIAZOUT-MDC-26SEP01,"Will Miguel Díaz-Canel leave office before 2026-09-01T14:00:00.000Z? — Before September 1, 2026",65.0,36.0,0x5e02b629947c0d067d1be44a977a0b790eb34026beefb83ae165261710fd70fe,Will Miguel Díaz-Canel be the next leader out before 2027?,27.0,73.0
2,-1,needs review,0.9652,3.0,NO on Kalshi @ 73.0¢  +  YES on Polymarket @ 24.0¢,KXSENATEVAR-26-CSMI,Will Chuck Smith be the Republican nominee for the Senate in Virginia? — Chuck Smith,34.0,73.0,0xd815aab33cc1c82fa9c4cb8eb751776d3353e60a8c87708b34e0ca44ba671a5b,Will Chuck Smith be the Republican nominee for Senate in Virginia?,24.0,76.0
1,-1,needs review,0.8434,0.5,NO on Kalshi @ 71.0¢  +  YES on Polymarket @ 28.5¢,KXUSAIRANAGREEMENT-27-26AUG,Will the US agree to a new Iranian nuclear deal before August? — Before August,32.0,71.0,0xa70fc3695a65833b91b45df6db6015096f3e1471b70352ca411b4209010e7633,US-Iran nuclear deal by June 30?,28.499999999999996,71.5
2,-1,needs review,0.8642,31.8,YES on Kalshi @ 2.0¢  +  NO on Polymarket @ 66.2¢,KXNFLDRAFTPICK-26-3-CDOW,Who will be picked third in the Pro Football Draft? — Caleb Downs,2.0,100.0,0x990ca0d31c1bdbef2473c507af4f2856bd5187313a07ebd58f1f828ae2b1bd5f,Will Caleb Downs be the third pick in the 2026 NFL draft?,33.800000000000004,66.2
2,-1,needs review,0.9012,3.05,YES on Kalshi @ 4.0¢  +  NO on Polymarket @ 93.0¢,KXMLBNLCY-26-FPER,Will Freddy Peralta win NL Cy Young? — Freddy Peralta,4.0,98.0,0x1c0408d969ca7245b8e8d671ba95e0e7062375ae185a124d1384fe5aa2608adb,Will Freddy Peralta win the 2026 NL Cy Young Award?,7.049999999999999,92.95
2,2,matching thresholds + jaccard 0.75,0.9335,4.0,YES on Kalshi @ 4.0¢  +  NO on Polymarket @ 92.0¢,KXHOUSERACE-NJ04-26-D,Will Democratic win the House race for NJ-04? — Democratic party,4.0,100.0,0x8aac7bfc6b563fb2a1da242411e2226df04d9606253e15029ad73b5aebdf0d9e,Will the Democratic Party win the NJ-04 House seat?,8.0,92.0
