similarity,edge_cents,strategy,kalshi_id,kalshi_label,kalshi_yes,kalshi_no,poly_id,poly_label,poly_yes,poly_no,pred_label,pred_label_name,pred_prob_0,pred_prob_1,pred_prob_2
0.9196,34.5,YES on Kalshi @ 8.0¢  +  NO on Polymarket @ 57.5¢,KXNCAAMBBWEST-26-UCSD,Will UC San Diego be the Big West tournament champions? — UC San Diego,8.0,94.0,0x338cb237daff8d2fae504043b8892989ff39faad7786ff9049db15fd6716b9ee,Will UC San Diego win the 2026 Big West conference championship?,42.5,57.49999999999999,2,true_match,0.1955,0.0706,0.7339
0.9054,34.0,YES on Kalshi @ 4.0¢  +  NO on Polymarket @ 62.0¢,KXMLBALHAARON-26-CSEA,Will Corey Seager win AL Hank Aaron Award? — Corey Seager,4.0,,0x9169a4ac35044157c846fda10e0aa5ef9d6695f4c0a89de2d8cd33181ab5094e,Will Corey Seager win the 2026 American League Hank Aaron Award?,38.0,62.0,2,true_match,0.196,0.233,0.571
0.9018,33.0,YES on Kalshi @ 5.0¢  +  NO on Polymarket @ 62.0¢,KXNCAAMBBSKY-26-MONT,Will Montana be the Big Sky tournament champions? — Montana,5.0,96.0,0x955fe0892923055587011923d62af36dec107cc8ad0ce5b433b64f72dfcc821e,Will Montana win the 2026 Big Sky conference championship?,38.0,62.0,2,true_match,0.1994,0.0832,0.7174
0.8642,31.85,YES on Kalshi @ 2.0¢  +  NO on Polymarket @ 66.1¢,KXNFLDRAFTPICK-26-3-CDOW,Who will be picked third in the Pro Football Draft? — Caleb Downs,2.0,,0x990ca0d31c1bdbef2473c507af4f2856bd5187313a07ebd58f1f828ae2b1bd5f,Will Caleb Downs be the third pick in the 2026 NFL draft?,33.85,66.14999999999999,2,true_match,0.3459,0.1684,0.4857
0.9084,31.0,YES on Kalshi @ 9.0¢  +  NO on Polymarket @ 60.0¢,KXMLBALHAARON-26-JROD,Will Julio Rodríguez win AL Hank Aaron Award? — Julio Rodríguez,9.0,,0x2dd5e7b822f28c63abff6c4308f41b1b3471145127a318d82c6cb02b216b6f85,Will Julio Rodríguez win the 2026 American League Hank Aaron Award?,40.0,60.0,2,true_match,0.0851,0.0828,0.8321
0.8487,31.0,YES on Kalshi @ 11.0¢  +  NO on Polymarket @ 58.0¢,KXNCAAMBUSA-26-WKU,Will Western Kentucky be the Conference USA tournament champions? — Western Kentucky,11.0,91.0,0x6769b961b5012c9777c848163639351b34942283f33f7730dc654d6f747a3f6f,Will Western Kentucky win the 2026 CUSA conference championship?,42.0,57.99999999999999,2,true_match,0.3767,0.1158,0.5075
0.8697,30.65,NO on Kalshi @ 68.0¢  +  YES on Polymarket @ 1.4¢,KX2028RRUN-28-BKEM,Who will run for the Republican presidential nomination in 2028? — Brian Kemp,38.0,68.0,0x42631e1a8c8e6389422b58b8e15b1b551892b9833651aa3bab25afab124354b5,Will Brian Kemp win the 2028 Republican presidential nomination?,1.35,98.65,2,true_match,0.3659,0.094,0.5401
0.9688,29.95,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 69.0¢,KXTXPRIMARY-38R26-MPRA,Will Michael Pratt be the Republican nominee for TX-38? — Michael Pratt,1.0,,0x481875dbf17ce94ce3fd9766c87aebb0d043cfe85e1f614be882440584322dfe,Will Michael Pratt be the Republican Nominee for TX-38?,30.95,69.05,2,true_match,0.0498,0.3051,0.6451
0.8887,29.75,NO on Kalshi @ 69.0¢  +  YES on Polymarket @ 1.2¢,KX2028RRUN-28-MTAY,Who will run for the Republican presidential nomination in 2028? — Marjorie Taylor Greene,32.0,69.0,0x17902b9490c6a73152772316b4705935c5c6801ba269f2afc81686532e34fb9a,Will Marjorie Taylor Greene win the 2028 Republican presidential nomination?,1.25,98.75,2,true_match,0.2087,0.1298,0.6615
0.9184,28.5,YES on Kalshi @ 6.0¢  +  NO on Polymarket @ 65.5¢,KXNCAAMBAE-26-MASSL,Will UMass Lowell be the America East tournament champions? — UMass Lowell,6.0,96.0,0xedd287f32c19aa507ccbe49d37f1602283ba9680d2af6ca406a834219de199f8,Will UMass Lowell win the 2026 America East conference championship?,34.5,65.5,2,true_match,0.2564,0.3492,0.3944
0.9042,28.0,YES on Kalshi @ 13.0¢  +  NO on Polymarket @ 59.0¢,KXNCAAMBHOR-26-DET,Will Detroit Mercy be the Horizon League tournament champions? — Detroit Mercy,13.0,88.0,0xb615e06e5451fdcd67d757d0a61e091fcca301bbd34177aaae9497d26ae5d24c,Will Detroit Mercy win the 2026 Horizon conference championship?,41.0,59.0,2,true_match,0.2979,0.2259,0.4762
0.9011,28.0,YES on Kalshi @ 13.0¢  +  NO on Polymarket @ 59.0¢,KXNCAAMBMW-26-GC,Will Grand Canyon be the Mountain West tournament champions? — Grand Canyon,13.0,88.0,0xcf6479ee037ea53e40a3a5d75a862db204dafc08238eb76947da086dc3b3f6e5,Will Grand Canyon win the 2026 Mountain West conference championship?,41.0,59.0,2,true_match,0.205,0.0871,0.7079
0.9005,28.0,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 71.0¢,KXMWREG-26-AFA,Will Air Force be the Mountain West Conference regular season champions? — Air Force,1.0,,0xa01e8eec1db5a518c13bc6e24d5f31b74730367f88e831d57109889842962d38,Will Air Force win the 2026 Mountain West conference championship?,28.999999999999996,71.0,2,true_match,0.3341,0.2074,0.4585
0.8981,28.0,YES on Kalshi @ 8.0¢  +  NO on Polymarket @ 64.0¢,KXMLBALHAARON-26-GHEN,Will Gunnar Henderson win AL Hank Aaron Award? — Gunnar Henderson,8.0,,0xeb0cd3ab2569257a3586b8dddeae802dfe4da91b6ad9ca610001f84894f94523,Will Gunnar Henderson win the 2026 American League Hank Aaron Award?,36.0,64.0,2,true_match,0.1508,0.154,0.6952
0.8628,27.95,NO on Kalshi @ 71.0¢  +  YES on Polymarket @ 1.1¢,KX2028DRUN-28-PMUR,Who will run for the Democratic presidential nomination in 2028? — Phil Murphy,36.0,71.0,0x29283b56d3eec6d1d89fff51793d9d2e01579d2379b1d3e9ebda175d3561e809,Will Phil Murphy win the 2028 Democratic presidential nomination?,1.05,98.95,2,true_match,0.3321,0.1067,0.5612
0.8639,26.85,YES on Kalshi @ 5.0¢  +  NO on Polymarket @ 68.2¢,KXNFLDRAFTPICK-26-3-RBAI,Who will be picked third in the Pro Football Draft? — Rueben Bain Jr.,5.0,96.0,0x1b1265e7a1868cbcd42480e40a68af3cd790b35094cdd2435eca9e852757a4df,Will Rueben Bain Jr. be the third pick in the 2026 NFL draft?,31.85,68.15,2,true_match,0.2677,0.1575,0.5748
0.8977,26.55,YES on Kalshi @ 7.0¢  +  NO on Polymarket @ 66.5¢,KXMLBNLHAARON-26-MBET,Will Mookie Betts win NL Hank Aaron Award? — Mookie Betts,7.0,,0xc91cf69918bc73d74141b94851363dabe90bb57fa6d54c707783a940236fb20f,Will Mookie Betts win the 2026 National League Hank Aaron Award?,33.550000000000004,66.45,2,true_match,0.1113,0.315,0.5738
0.9513,25.5,YES on Kalshi @ 10.0¢  +  NO on Polymarket @ 64.5¢,HOUSEIL17-26-R,Will a Republican win the House race for IL-17? — Republican party,10.0,95.0,0x59946d130f7e7093e3463db4221f6e620f670b45ff4acd42def5e29742bee074,Will the Republican Party win the IL-17 House seat?,35.5,64.5,2,true_match,0.0413,0.1219,0.8368
0.8673,24.65,NO on Kalshi @ 74.0¢  +  YES on Polymarket @ 1.4¢,KX2028RRUN-28-RPAU,Who will run for the Republican presidential nomination in 2028? — Rand Paul,31.0,74.0,0xd10bc768ede58b53ed400594240b0a0603134a32dab89ec823a18759cbc180ca,Will Rand Paul win the 2028 Republican presidential nomination?,1.35,98.65,2,true_match,0.355,0.091,0.554
0.8927,24.55,NO on Kalshi @ 74.0¢  +  YES on Polymarket @ 1.5¢,KX2028RRUN-28-VRAM,Who will run for the Republican presidential nomination in 2028? — Vivek Ramaswamy,31.0,74.0,0xd997dc2a212a7d6673375a3b016db1fb214247142f8cde0cbf07f8e6d789877c,Will Vivek Ramaswamy win the 2028 Republican presidential nomination?,1.4500000000000002,98.55,2,true_match,0.237,0.1475,0.6155
0.9326,24.0,NO on Kalshi @ 31.0¢  +  YES on Polymarket @ 45.0¢,KXHOUSERACE-CA48-26-D,Will Democratic win the House race for CA-48? — Democratic party,76.0,31.0,0xf8864cc923193924f175991ede770984839c7fd8e57386e6cbd9aa32eb62f6d6,Will the Democratic Party win the CA-48 House seat?,45.0,55.00000000000001,2,true_match,0.0531,0.0566,0.8903
0.9099,24.0,YES on Kalshi @ 11.0¢  +  NO on Polymarket @ 65.0¢,KXMLBALHAARON-26-JRAM,Will José Ramírez win AL Hank Aaron Award? — José Ramírez,11.0,99.0,0x6359895f8a3da37cb8c9568b40fc418e7b7c8fc5365a605ce5275fda5aaf44d7,Will José Ramírez win the 2026 American League Hank Aaron Award?,35.0,65.0,2,true_match,0.0555,0.0877,0.8569
0.8992,23.35,YES on Kalshi @ 10.0¢  +  NO on Polymarket @ 66.6¢,KXMLBNLHAARON-26-KMAR,Will Ketel Marte win NL Hank Aaron Award? — Ketel Marte,10.0,,0xbd6af083e80da4bc0d6a8ebbbf28370c08c633356e2489b3e21e9b27297fdb2d,Will Ketel Marte win the 2026 National League Hank Aaron Award?,33.35,66.64999999999999,2,true_match,0.1285,0.2945,0.577
0.8857,23.0,YES on Kalshi @ 19.0¢  +  NO on Polymarket @ 58.0¢,KXMLBALHAARON-26-RWIT,Will Bobby Witt Jr. win AL Hank Aaron Award? — Bobby Witt Jr.,19.0,89.0,0x01bc044b2cb4175110308b6d35feb6fa8dfe96881108c0a9bb5743a6248209d6,Will Bobby Witt Jr. win the 2026 American League Hank Aaron Award?,42.0,57.99999999999999,2,true_match,0.0929,0.0595,0.8475
0.9449,22.5,NO on Kalshi @ 34.0¢  +  YES on Polymarket @ 43.5¢,KXHOUSERACE-CO05-26-R,Will Republican win the House race for CO-05? — Republican party,71.0,34.0,0xb00b60bd8636a38909fe71a19bf89b67a4352981690264091d2091393b8413df,Will the Republican Party win the CO-05 House seat?,43.5,56.49999999999999,2,true_match,0.052,0.1213,0.8266
0.9346,22.5,NO on Kalshi @ 18.0¢  +  YES on Polymarket @ 59.5¢,HOUSENY19-26-D,Will Democratic win the House race for NY-19? — Democratic party,88.0,18.0,0xbd72208a4ceea9fde59f3a42d2f4c5c78bd7cc05c4fada7fe60f877d2fee6dc9,Will the Democratic Party win the NY-19 House seat?,59.5,40.5,2,true_match,0.0687,0.2313,0.7001
0.918,22.5,YES on Kalshi @ 19.0¢  +  NO on Polymarket @ 58.5¢,KXNCAAMBIVY-26-COR,Will Cornell be the Ivy League tournament champions? — Cornell,19.0,83.0,0x0099fd8dfd4d5dadc4e3991823676ee41934ed3e151787b02f6d2e0effc222b3,Will Cornell win the 2026 Ivy conference championship?,41.5,58.5,2,true_match,0.2907,0.3066,0.4027
0.8702,22.25,NO on Kalshi @ 76.0¢  +  YES on Polymarket @ 1.8¢,KX2028RRUN-28-TMAS,Who will run for the Republican presidential nomination in 2028? — Thomas Massie,26.0,76.0,0x24258776d0a926b4550b0f213267b95ba0a7741fc972d0b3c2b5f6bf8ced2c50,Will Thomas Massie win the 2028 Republican presidential nomination?,1.7500000000000002,98.25,2,true_match,0.3691,0.1044,0.5265
0.8947,22.0,YES on Kalshi @ 43.0¢  +  NO on Polymarket @ 35.0¢,HOUSEMT1-26-D,Will Democratic win the House race for MT-1? — Democratic party,43.0,63.0,0xe0fbb3e61e61b14f5fef15ffdd0e2a0c6cf4336bb5b15877fe3e3c9fdcc6bc7f,Will the Democratic Party win the MT-01 House seat?,65.0,35.0,2,true_match,0.1549,0.2363,0.6088
0.8861,22.0,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 77.0¢,KXNBAEAST-26-WAS,Will the Washington win the 2026 Pro Basketball Eastern Conference Championship? — Washington,1.0,,0x80bf88929f0b14d0daea8b32734eea59008d8a683958de52bd13b97b7d5d6539,Will Eastern Washington win the 2026 Big Sky conference championship?,23.0,77.0,2,true_match,0.3234,0.1507,0.5259
0.9435,21.5,YES on Kalshi @ 15.0¢  +  NO on Polymarket @ 63.5¢,HOUSENY19-26-R,Will Republican win the House race for NY-19? — Republican party,15.0,92.0,0xf0e2374e59f471eee1ee40d64dc1ae7c8dde26c0c32eb638078466699ef2d82c,Will the Republican Party win the NY-19 House seat?,36.5,63.5,2,true_match,0.0437,0.1166,0.8397
0.9245,21.5,YES on Kalshi @ 3.0¢  +  NO on Polymarket @ 75.5¢,KXNCAAMBSLC-26-UNO,Will New Orleans be the Southland tournament champions? — New Orleans,3.0,99.0,0x13bfadb35fbb8234adbf59bcdf1dd4555a21460b1587e4ed4007c2377f91fba2,Will New Orleans win the 2026 Southland conference championship?,24.5,75.5,2,true_match,0.1714,0.3105,0.5181
0.8936,21.5,YES on Kalshi @ 20.0¢  +  NO on Polymarket @ 58.5¢,KXUSACOMPANYSTAKE-27JAN01-LMT,Will any part of the United States federal government take a stake of above 0% in Lockheed Martin? — Lockheed Martin,20.0,84.0,0x063bcc769a02477cbaa9bafd576934fb9dddced3bb671b0b7bbf8f691d627969,Will the US federal government take a stake in Lockheed Martin Corporation?,41.5,58.5,2,true_match,0.3264,0.3362,0.3374
0.8707,20.95,NO on Kalshi @ 77.0¢  +  YES on Polymarket @ 2.1¢,KX2028RRUN-28-TUC,Who will run for the Republican presidential nomination in 2028? — Tucker Carlson,29.0,77.0,0x4273517fc8141d57ad1528ede46efdceebdb6a4da746d5de5bad216564209a1e,Will Tucker Carlson win the 2028 Republican presidential nomination?,2.0500000000000003,97.95,2,true_match,0.3751,0.1022,0.5228
0.8921,20.6,YES on Kalshi @ 13.0¢  +  NO on Polymarket @ 66.4¢,KXMLBNLHAARON-26-FTAT,Will Fernando Tatis Jr. win NL Hank Aaron Award? — Fernando Tatis Jr.,13.0,,0xb64b5643f8cbc75cc366ea30d42827c0b2133bb58087818b0ee75fa34f705398,Will Fernando Tatis Jr. win the 2026 National League Hank Aaron Award?,33.6,66.4,2,true_match,0.1244,0.0977,0.7779
0.9022,20.0,YES on Kalshi @ 14.0¢  +  NO on Polymarket @ 66.0¢,HOUSEMI3-26-R,Will a Republican win the House race for MI-3? — Republican party,14.0,93.0,0x5a9c199f5580fd145622bf822fdcab24c44f24cf3db997db3c6eaea3907578c1,Will the Republican Party win the MI-03 House seat?,34.0,66.0,2,true_match,0.3872,0.0447,0.5681
0.8967,20.0,YES on Kalshi @ 9.0¢  +  NO on Polymarket @ 71.0¢,KXNCAAMBSLC-26-UTRGV,Will UT Rio Grande Valley be the Southland tournament champions? — UT Rio Grande Valley,9.0,92.0,0xc0999cc498e32da3da1590d082b47b597449cad3af8553647609bf557336de57,Will UT Rio Grande Valley win the 2026 Southland conference championship?,28.999999999999996,71.0,2,true_match,0.0649,0.0531,0.8819
0.9036,19.5,YES on Kalshi @ 17.0¢  +  NO on Polymarket @ 63.5¢,KXNCAAMBBSKY-26-UNCO,Will Northern Colorado be the Big Sky tournament champions? — Northern Colorado,17.0,84.0,0xd4d9ce8f62348b020b67703766602a06fc31c6c7c4318b34500f828b534df442,Will Northern Colorado win the 2026 Big Sky conference championship?,36.5,63.5,2,true_match,0.0948,0.0246,0.8805
0.8874,19.5,YES on Kalshi @ 9.0¢  +  NO on Polymarket @ 71.5¢,KXMLBALHAARON-26-VGUE,Will Vladimir Guerrero Jr. win AL Hank Aaron Award? — Vladimir Guerrero Jr.,9.0,,0xeda10cc8809a8a6f8723b6ba1dabac71bebf02844fc1d422292d73bfc0b7ebde,Will Vladimir Guerrero Jr. win the 2026 American League Hank Aaron Award?,28.499999999999996,71.5,2,true_match,0.0575,0.119,0.8235
0.8481,19.5,YES on Kalshi @ 9.0¢  +  NO on Polymarket @ 71.5¢,KXMLSCUP-26-LAG,Will Los Angeles G win the MLS Cup? — Los Angeles G,9.0,97.0,0xfa4b4e1b72cbe5f2ed5dcdca162b16bc77d1c15575ad16fc03f41cb78d72e0f8,Will Los Angeles FC win the 2026 MLS Cup?,28.499999999999996,71.5,2,true_match,0.0364,0.0902,0.8734
0.9243,19.0,YES on Kalshi @ 21.0¢  +  NO on Polymarket @ 60.0¢,KXMLBALHAARON-26-CRAL,Will Cal Raleigh win AL Hank Aaron Award? — Cal Raleigh,21.0,85.0,0x3da34b8984fc18f9894a7afb26e68fa4bee5f060d11549f61256336cafee877f,Will Cal Raleigh win the 2026 American League Hank Aaron Award?,40.0,60.0,2,true_match,0.0775,0.0882,0.8343
0.9158,19.0,YES on Kalshi @ 18.0¢  +  NO on Polymarket @ 63.0¢,HOUSENH1-26-R,Will a Republican win the House race for NH-1? — Republican party,18.0,88.0,0x78cd764ab3cdfa56aed4b35f5c9b0f19b011c429ea896a8211dd11d9b9820716,Will the Republican Party win the NH-01 House seat?,37.0,63.0,2,true_match,0.1226,0.0878,0.7896
0.906,19.0,YES on Kalshi @ 14.0¢  +  NO on Polymarket @ 67.0¢,HOUSEMN2-26-R,Will a Republican win the House race for MN-2? — Republican party,14.0,92.0,0xd74edce8d6b32ad9a93eea0dc2350a78474f6bc3894b9196c04348b1a2e64af7,Will the Republican Party win the MN-02 House seat?,33.0,67.0,2,true_match,0.1257,0.0997,0.7746
0.8211,19.0,YES on Kalshi @ 4.0¢  +  NO on Polymarket @ 77.0¢,KXMLBNLMVP-26-PCRO,Will Pete Crow-Armstrong win NL MVP? — Pete Crow-Armstrong,4.0,97.0,0x93bf14e9f7767c04029ceb341cdf75caf8e6c7e71b8c26d4559ff1cb27ff43a3,Will Pete Crow-Armstrong win MVP at the 2026 World Baseball Classic?,23.0,77.0,2,true_match,0.295,0.1056,0.5993
0.9078,18.5,YES on Kalshi @ 6.0¢  +  NO on Polymarket @ 75.5¢,KXNCAAMBSLC-26-AMCC,Will Texas A&M-Corpus Christi be the Southland tournament champions? — Texas A&M-Corpus Christi,6.0,,0x7e12881c3726cc2178736f7cc26433adba0187204be284bde192603796255bfb,Will Texas A&M-Corpus Christi win the 2026 Southland conference championship?,24.5,75.5,2,true_match,0.1118,0.067,0.8212
0.8849,18.5,NO on Kalshi @ 42.0¢  +  YES on Polymarket @ 39.5¢,KXNCAAMBAE-26-UMBC,Will UMBC be the America East tournament champions? — UMBC,60.0,42.0,0xa3468b93e058e19a985103cc6bb979efa157d525d1b2f3b89376acbd8838622f,Will UMBC win the 2026 America East conference championship?,39.5,60.5,2,true_match,0.2121,0.16,0.6279
0.8636,17.75,NO on Kalshi @ 81.0¢  +  YES on Polymarket @ 1.2¢,KX2028RRUN-28-MGAE,Who will run for the Republican presidential nomination in 2028? — Matt Gaetz,22.0,81.0,0xf2cea45ec282af4f302d2ab85ede73678cd692ebf8c3ab6d52bfa5e19f44c553,Will Matt Gaetz win the 2028 Republican presidential nomination?,1.25,98.75,2,true_match,0.3694,0.1016,0.529
0.9054,17.5,NO on Kalshi @ 46.0¢  +  YES on Polymarket @ 36.5¢,HOUSEMT1-26-R,Will Republican win the House race for MT-1? — Republican party,59.0,46.0,0xf207d480dde3add509a4b1a355d4f3b06195f917de37ff94f7814d9277df0cdd,Will the Republican Party win the MT-01 House seat?,36.5,63.5,2,true_match,0.0659,0.1691,0.765
0.9346,17.0,YES on Kalshi @ 26.0¢  +  NO on Polymarket @ 57.0¢,HOUSEFL13-26-D,Will Democratic win the House race for FL-13? — Democratic party,26.0,81.0,0x89e54c86f437d7696d9789c5ff901dd5f3b35a5594f5aadf27af50bc6d2ca50e,Will the Democratic Party win the FL-13 House seat?,43.0,56.99999999999999,2,true_match,0.0276,0.0741,0.8982
0.8741,16.85,NO on Kalshi @ 82.0¢  +  YES on Polymarket @ 1.1¢,KX2028RRUN-28-GABB,Who will run for the Republican presidential nomination in 2028? — Greg Abbott,25.0,82.0,0x214093035e429b91df322bd20c55d9f611f741f67472a63f7623a9afc0cffa57,Will Greg Abbott win the 2028 Republican presidential nomination?,1.15,98.85,2,true_match,0.3904,0.0842,0.5255
0.8817,16.75,NO on Kalshi @ 82.0¢  +  YES on Polymarket @ 1.2¢,KX2028RRUN-28-SHS,Who will run for the Republican presidential nomination in 2028? — Sarah Huckabee Sanders,26.0,82.0,0x00ad3bb5284b0b2314b1a2d42812fe292f606619c6278bd95c9d905816c240f6,Will Sarah Huckabee Sanders win the 2028 Republican presidential nomination?,1.25,98.75,2,true_match,0.1936,0.1183,0.6881
0.8681,16.65,NO on Kalshi @ 82.0¢  +  YES on Polymarket @ 1.4¢,KX2028RRUN-28-TGAB,Who will run for the Republican presidential nomination in 2028? — Tulsi Gabbard,22.0,82.0,0x9cd77217b2ab264fe4f6d302f662c0a91f349fe5798f1f98d70bb2311712791b,Will Tulsi Gabbard win the 2028 Republican presidential nomination?,1.35,98.65,2,true_match,0.4166,0.1121,0.4713
0.9281,16.5,YES on Kalshi @ 21.0¢  +  NO on Polymarket @ 62.5¢,KXHOUSERACE-OH15-26-D,Will Democratic win the House race for OH-15? — Democratic party,21.0,86.0,0xa6f43d33d8a72f04d84128346f4efff3ce0431d32e15bbe514f72aaed0414da6,Will the Democratic Party win the OH-15 House seat?,37.5,62.5,2,true_match,0.0283,0.0312,0.9405
0.885,16.5,NO on Kalshi @ 33.0¢  +  YES on Polymarket @ 50.5¢,HOUSEOH1-26-D,Will a Democrat win the House race for OH-1? — Democratic party,72.0,33.0,0x4af0fa1c69cdf730e0af62b006e31b6c0bf2b73ed66819bfdb44b6a85d7b8192,Will the Democratic Party win the OH-01 House seat?,50.5,49.5,2,true_match,0.3304,0.0879,0.5817
0.8982,16.0,NO on Kalshi @ 33.0¢  +  YES on Polymarket @ 51.0¢,HOUSEWI3-26-D,Will a Democrat win the House race for WI-3? — Democratic party,72.0,33.0,0x5b1d46c7f29397ca3a713ccdae49131bafdd0ff7f217895c3e7042a72d27ce1a,Will the Democratic Party win the WI-03 House seat?,51.0,49.0,2,true_match,0.2366,0.102,0.6614
0.8835,15.95,NO on Kalshi @ 83.0¢  +  YES on Polymarket @ 1.1¢,KX2028DRUN-28-MCUB,Who will run for the Democratic presidential nomination in 2028? — Mark Cuban,22.0,83.0,0x9d4f94f82de9d13ff1d3318639ab9000ee2533949e525343156f374fb00bd9b1,Will Mark Cuban win the 2028 Democratic presidential nomination?,1.05,98.95,2,true_match,0.2528,0.1177,0.6295
0.916,15.5,YES on Kalshi @ 15.0¢  +  NO on Polymarket @ 69.5¢,KXFIELDS-26-ALOG,Who will win the Fields Medal in 2026? — Aleksandr Logunov,15.0,91.0,0xc8fd0988416e7299aaf762cf3c6c7a83e5c0ef4093e927ee48b1a85fe8062942,Will Aleksandr Logunov win the 2026 Fields Medal?,30.5,69.5,2,true_match,0.047,0.1161,0.8369
0.8955,15.2,YES on Kalshi @ 19.0¢  +  NO on Polymarket @ 65.8¢,KXMLBNLHAARON-26-RACU,Will Ronald Acuña Jr. win NL Hank Aaron Award? — Ronald Acuña Jr.,19.0,95.0,0x9f91225e417dedc5dacd9fa5a978925a335ce012df3bbe3fb323aeba30162d96,Will Ronald Acuña Jr. win the 2026 National League Hank Aaron Award?,34.2,65.8,2,true_match,0.0527,0.0702,0.877
0.9783,15.0,NO on Kalshi @ 48.0¢  +  YES on Polymarket @ 37.0¢,KXCO03R-26-JHUR,Will Jeff Hurd be the Republican nominee for CO-03? — Jeff Hurd,56.0,48.0,0x6f3500bc43f816c814f6f520249a786e04097a0c4b4de901d9de9967cb0f3446,Will Jeff Hurd be the Republican nominee for CO-03?,37.0,63.0,2,true_match,0.0234,0.2525,0.7241
