similarity,edge_cents,strategy,kalshi_id,kalshi_label,kalshi_yes,kalshi_no,poly_id,poly_label,poly_yes,poly_no
0.8259,96.15,YES on Kalshi @ 2.0¢  +  NO on Polymarket @ 1.8¢,KXBUNDESLIGA-26-BVB,Will Dortmund win the Bundesliga? — Dortmund,2.0,,0xf2a4a7765e2f05824fce5cd598c6c4a636a5aadc12607c05527b340f161fd2f9,Will Bayern Munich win the 2025–26 Bundesliga?,98.15,1.8499999999999999
0.8263,95.40,YES on Kalshi @ 2.0¢  +  NO on Polymarket @ 2.6¢,KXDENMARKPARLI-26-DEMOCRATS,Who will win the next Danish general election? — Denmark Democrats,2.0,99.0,0x0fbf49865537a7085a15a6286d4ac40447b3a8f957a2a7633770b7f6be1c83be,Will Social Democrats win the most seats in the Danish Folketing in the 2026 Danish general election?,97.39999999999999,2.6
0.8399,95.15,NO on Kalshi @ 3.0¢  +  YES on Polymarket @ 1.8¢,KXCOLOMBIAPARLI-26MAR08-HPAC,Will Historic Pact win the 2026 Colombian Chamber of Representatives election? — Historic Pact,98.0,3.0,0x55d8c1121041bdc0c935f6e1279e23fc2769c6ae6813af97d6fce959e4af620c,Will Pacto Histórico win 30+ seats in the Colombian Senate in the 2026 Colombian parliamentary election?,1.8499999999999999,98.15
0.8383,94.50,YES on Kalshi @ 3.0¢  +  NO on Polymarket @ 2.5¢,KXEPLRELEGATION-26-BOU,Will Bournemouth be Relegated from English Premier League in 2025-26 Season? — Bournemouth,3.0,,0x452e20d1071741f6895759aa298380fbb7fecb46fd10c20c4e2b13d86fbb67c6,Will Burnley be relegated from the English Premier League after the 2025–26 season?,97.5,2.5
0.8335,94.15,NO on Kalshi @ 4.0¢  +  YES on Polymarket @ 1.8¢,KXCPIYOY-26FEB-T2.2,Will the rate of CPI inflation be above 2.2% for the year ending in February 2026? — Above 2.2%,98.0,4.0,0xb9f2a360e640e06c675635a64e31604f30657de02c22ed0a4641c8b3084143f1,Will annual inflation increase by 2.2% in February?,1.8499999999999999,98.15
0.8813,94.00,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 5.0¢,KXSCOTPARLIAMENT-26MAY07-CON,Will the Conservative Party win the 2026 Scottish parliament election? — Conservatives,1.0,,0xc381b79b37b4d34ee7b7a54c0ab5f5d3c5a2a8cc67252d3010649aff1d377bd4,Will Scottish National Party win the most seats in the 2026 Scottish Parliament election?,95.0,5.0
0.8925,93.90,NO on Kalshi @ 1.0¢  +  YES on Polymarket @ 5.1¢,KXCABLEAVE-26FEB-26DEC,Will any member of Trump's Cabinet leave before Dec 2026? — Before Jan 2027,,1.0,0x3df5429ee23e1414f1a074f61d85e55ef2060d95a66c22a2d435d1e4f3749f7c,Will no one leave the Trump Cabinet before 2027?,5.1,94.89999999999999
0.8812,93.90,NO on Kalshi @ 1.0¢  +  YES on Polymarket @ 5.1¢,KXCABLEAVE-26FEB-26AUG,Will any member of Trump's Cabinet leave before Aug 2026? — Before Sep 2026,,1.0,0x3df5429ee23e1414f1a074f61d85e55ef2060d95a66c22a2d435d1e4f3749f7c,Will no one leave the Trump Cabinet before 2027?,5.1,94.89999999999999
0.8686,93.90,NO on Kalshi @ 1.0¢  +  YES on Polymarket @ 5.1¢,KXCABLEAVE-26FEB-26MAY,Will any member of Trump's Cabinet leave before May 2026? — Before Jun 2026,,1.0,0x3df5429ee23e1414f1a074f61d85e55ef2060d95a66c22a2d435d1e4f3749f7c,Will no one leave the Trump Cabinet before 2027?,5.1,94.89999999999999
0.8635,93.90,NO on Kalshi @ 1.0¢  +  YES on Polymarket @ 5.1¢,KXCABLEAVE-26FEB-26APR,Will any member of Trump's Cabinet leave before Apr 2026? — Before May 2026,,1.0,0x3df5429ee23e1414f1a074f61d85e55ef2060d95a66c22a2d435d1e4f3749f7c,Will no one leave the Trump Cabinet before 2027?,5.1,94.89999999999999
0.8624,93.90,NO on Kalshi @ 1.0¢  +  YES on Polymarket @ 5.1¢,KXCABLEAVE-26FEB-26MAR,Will any member of Trump's Cabinet leave before Mar 2026? — Before Apr 2026,,1.0,0x3df5429ee23e1414f1a074f61d85e55ef2060d95a66c22a2d435d1e4f3749f7c,Will no one leave the Trump Cabinet before 2027?,5.1,94.89999999999999
0.9036,93.50,YES on Kalshi @ 2.0¢  +  NO on Polymarket @ 4.5¢,KXGOVOHNOMD-26-SBRO,Wil Sherrod Brown be the Democratic nominee for Governor in Ohio? — Sherrod Brown,2.0,,0x190b4ecbbbdad53110817ba3666e6b5dd735737e0b7b19acebb8e102f7867d68,Will Sherrod Brown be the Democratic nominee for Senate in Ohio?,95.5,4.5
0.8241,92.50,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 6.5¢,KXPRESNOMD-28-AKLO,Will Amy Klobuchar be the nominee for the Presidency for the Democratic party? — Amy Klobuchar,1.0,,0xafda84d1726c745016d74267018b34884919eb989a399a46bdd3a4968e4a6f4f,Will Amy Klobuchar win the 2026 Minnesota Governor Democratic primary election?,93.5,6.5
0.8714,91.80,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 7.2¢,KXLALIGA-26-VIL,Will Villarreal win the La Liga? — Villarreal,1.0,,0x32b7aab78f0be7156c9b8c4f28226b8f676629b3b836369a88750835204d5584,Will Villarreal finish in the top 4 of the La Liga 2025–26 standings?,92.80000000000001,7.199999999999999
0.8246,91.55,NO on Kalshi @ 7.0¢  +  YES on Polymarket @ 1.5¢,KXFEDCHAIRCONFIRM-KWAR,"Will Kevin Warsh be confirmed as chair of the Board of Governors of the Federal Reserve System before Jan 1, 2029? — Kevin Warsh",94.0,7.0,0x20b447696642ab418599816515fe2559121ac2dfdaac33d301b2bf01523ee822,Will Bernie Sanders vote to confirm Kevin Warsh as Chair of the Federal Reserve?,1.4500000000000002,98.55000000000001
0.8974,91.50,NO on Kalshi @ 1.0¢  +  YES on Polymarket @ 7.5¢,KXFED-26MAR-T2.75,"Will the upper bound of the federal funds rate be above 2.75% following the Fed's Mar 18, 2026 meeting? — Above 2.75%",,1.0,0x0fe6bc20ffff1a1f3c0b076f2c512fc582fb82be1cf5836b59bbafa17151fb32,Will the upper bound of the target federal funds rate be 2.75% at the end of 2026?,7.5,92.5
0.8658,91.50,YES on Kalshi @ 2.0¢  +  NO on Polymarket @ 6.5¢,KXSENATEDEMLEAD-28JAN01-AKLO,Will Amy Klobuchar win the the next Senate Democratic Leader election? — Amy Klobuchar,2.0,99.0,0xafda84d1726c745016d74267018b34884919eb989a399a46bdd3a4968e4a6f4f,Will Amy Klobuchar win the 2026 Minnesota Governor Democratic primary election?,93.5,6.5
0.9002,91.40,YES on Kalshi @ 4.0¢  +  NO on Polymarket @ 4.6¢,KXFREDDIE-26MAY01,"When will Freddie Mac officially announce an IPO? — Before May 1, 2026",4.0,,0x88f380941bf0fc1a485dcf07e006e932724d8a37405b9b0f908d8046a65a006e,"Will Freddie Mac not IPO by June 30, 2026?",95.39999999999999,4.6
0.8940,91.40,YES on Kalshi @ 4.0¢  +  NO on Polymarket @ 4.6¢,KXFREDDIE-26APR01,"When will Freddie Mac officially announce an IPO? — Before Apr 1, 2026",4.0,,0x88f380941bf0fc1a485dcf07e006e932724d8a37405b9b0f908d8046a65a006e,"Will Freddie Mac not IPO by June 30, 2026?",95.39999999999999,4.6
0.8354,91.00,YES on Kalshi @ 4.0¢  +  NO on Polymarket @ 5.0¢,KXSNPMAJORITY-26MAY07-A68,Will SNP win above 68 seats in the 2026 Scottish Parliament election? — Above 68,4.0,97.0,0xc381b79b37b4d34ee7b7a54c0ab5f5d3c5a2a8cc67252d3010649aff1d377bd4,Will Scottish National Party win the most seats in the 2026 Scottish Parliament election?,95.0,5.0
0.8218,90.75,NO on Kalshi @ 7.0¢  +  YES on Polymarket @ 2.2¢,KXMARMADROUND-26RO32-ILL,Will Illinois qualify for the Men's March Madness Round of 32? — Illinois,99.0,7.0,0xcac9f47608210f824822b469e21a399def480ebbf9ba743e24b39cf8c19c5d5b,Will Illinois be a number 1 seed in the 2026 NCAA Men’s Basketball March Madness Tournament?,2.25,97.75
0.9357,90.55,YES on Kalshi @ 3.0¢  +  NO on Polymarket @ 6.5¢,KXSTRIPEIPO-26MAY01,"When will Stripe IPO? — Before May 1, 2026",3.0,,0xe478b515162e00d4b682e2e480e847487f5e824bbc5c7c1d4587ee68bcb4befe,"Will Stripe not IPO by June 30, 2026?",93.55,6.45
0.9014,90.40,YES on Kalshi @ 5.0¢  +  NO on Polymarket @ 4.6¢,KXFREDDIE-26SEP01,"When will Freddie Mac officially announce an IPO? — Before Sep 1, 2026",5.0,,0x88f380941bf0fc1a485dcf07e006e932724d8a37405b9b0f908d8046a65a006e,"Will Freddie Mac not IPO by June 30, 2026?",95.39999999999999,4.6
0.8985,90.40,YES on Kalshi @ 5.0¢  +  NO on Polymarket @ 4.6¢,KXFREDDIE-26AUG01,"When will Freddie Mac officially announce an IPO? — Before Aug 1, 2026",5.0,,0x88f380941bf0fc1a485dcf07e006e932724d8a37405b9b0f908d8046a65a006e,"Will Freddie Mac not IPO by June 30, 2026?",95.39999999999999,4.6
0.8764,89.50,NO on Kalshi @ 3.0¢  +  YES on Polymarket @ 7.5¢,KXFED-26APR-T2.75,"Will the upper bound of the federal funds rate be above 2.75% following the Fed's Apr 29, 2026 meeting? — Above 2.75%",,3.0,0x0fe6bc20ffff1a1f3c0b076f2c512fc582fb82be1cf5836b59bbafa17151fb32,Will the upper bound of the target federal funds rate be 2.75% at the end of 2026?,7.5,92.5
0.8398,89.45,YES on Kalshi @ 2.0¢  +  NO on Polymarket @ 8.6¢,KXOSCARCOSTUME-26-AVA,Will Avatar: Fire and Ash win Best Costume Design at the Oscars? — Avatar: Fire and Ash,2.0,99.0,0x1bcfbf3799c5df7b055e8305f8b50c91de33802fd6990be4ebff4046a1330acb,Will Avatar: Fire and Ash win Best Visual Effects at the 98th Academy Awards?,91.45,8.55
0.9040,89.40,YES on Kalshi @ 6.0¢  +  NO on Polymarket @ 4.6¢,KXFREDDIE-26OCT01,"When will Freddie Mac officially announce an IPO? — Before Oct 1, 2026",6.0,,0x88f380941bf0fc1a485dcf07e006e932724d8a37405b9b0f908d8046a65a006e,"Will Freddie Mac not IPO by June 30, 2026?",95.39999999999999,4.6
0.9022,89.40,YES on Kalshi @ 6.0¢  +  NO on Polymarket @ 4.6¢,KXFREDDIE-27MAR01,"When will Freddie Mac officially announce an IPO? — Before Mar 1, 2027",6.0,,0x88f380941bf0fc1a485dcf07e006e932724d8a37405b9b0f908d8046a65a006e,"Will Freddie Mac not IPO by June 30, 2026?",95.39999999999999,4.6
0.9016,89.40,YES on Kalshi @ 6.0¢  +  NO on Polymarket @ 4.6¢,KXFREDDIE-26NOV01,"When will Freddie Mac officially announce an IPO? — Before Nov 1, 2026",6.0,,0x88f380941bf0fc1a485dcf07e006e932724d8a37405b9b0f908d8046a65a006e,"Will Freddie Mac not IPO by June 30, 2026?",95.39999999999999,4.6
0.8994,89.40,YES on Kalshi @ 6.0¢  +  NO on Polymarket @ 4.6¢,KXFREDDIE-27JAN01,"When will Freddie Mac officially announce an IPO? — Before Jan 1, 2027",6.0,,0x88f380941bf0fc1a485dcf07e006e932724d8a37405b9b0f908d8046a65a006e,"Will Freddie Mac not IPO by June 30, 2026?",95.39999999999999,4.6
0.8365,89.10,NO on Kalshi @ 9.0¢  +  YES on Polymarket @ 1.9¢,KXMARMADROUND-26RO32-PUR,Will Purdue qualify for the Men's March Madness Round of 32? — Purdue,97.0,9.0,0x0d91e7f198d5a2638f09f6f3d3bc85b7a6630131498e02e994ad4f183d4c08d6,Will Purdue be a number 1 seed in the 2026 NCAA Men’s Basketball March Madness Tournament?,1.9,98.1
0.8953,89.00,NO on Kalshi @ 1.0¢  +  YES on Polymarket @ 10.0¢,KXFED-26MAR-T3.00,"Will the upper bound of the federal funds rate be above 3.00% following the Fed's Mar 18, 2026 meeting? — Above 3.00%",,1.0,0xf9ca1f6608ee282342a6c8d108dda15b91fc9cc1cf9e90a548c3ae5f825b425f,Will the upper bound of the target federal funds rate be 3.0% at the end of 2026?,10.0,90.0
0.8232,88.95,NO on Kalshi @ 10.0¢  +  YES on Polymarket @ 1.1¢,KXWCLOCATION-26MEX-YES,Will a 2026 FIFA World Cup game be played in Mexico? — Yes,96.0,10.0,0x5ccfe1b69a582d2985db08a8481a0d74c314b1fce9b4711ae2efb2c6467fe6aa,Will Mexico win the 2026 FIFA World Cup?,1.05,98.95
0.8687,88.60,NO on Kalshi @ 9.0¢  +  YES on Polymarket @ 2.4¢,KXFED-27JAN-T0.50,"Will the upper bound of the federal funds rate be above 0.50% following the Fed's Jan 27, 2027 meeting? — Above 0.50%",98.0,9.0,0x857a2ae8088bc256184d6684adfdc7832d072e526c1e8f0d218c1160770c20e9,Will the upper bound of the target federal funds rate be ≤1.0% at the end of 2026?,2.4,97.6
0.9336,88.55,YES on Kalshi @ 5.0¢  +  NO on Polymarket @ 6.5¢,KXSTRIPEIPO-26JUN01,"When will Stripe IPO? — Before Jun 1, 2026",5.0,,0xe478b515162e00d4b682e2e480e847487f5e824bbc5c7c1d4587ee68bcb4befe,"Will Stripe not IPO by June 30, 2026?",93.55,6.45
0.8404,88.55,NO on Kalshi @ 9.0¢  +  YES on Polymarket @ 2.5¢,KXTOP3WEALTH-26DEC31-ELON,Will Elon Musk be one of the three wealthiest people in the world? — Elon Musk,96.0,9.0,0x41007c1217d0b1ff89a8fdd05a9e782e09b1b93cdcf4a50929491a5bf07deed4,Will Elon Musk be 3rd richest person on March 31?,2.45,97.55
0.9172,88.50,YES on Kalshi @ 2.0¢  +  NO on Polymarket @ 9.5¢,KXIPOFANNIE-26APR01,"When will Fannie Mae officially announce an IPO? — Before Apr 1, 2026",2.0,99.0,0x48cafe0a0690db8fe052c19afe84ead3f32314cac97015ea8c68a442a77d58a2,"Will Fannie Mae not IPO by June 30, 2026?",90.5,9.5
0.8556,88.50,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 10.5¢,KXBTCD-26MAR0906-T69499.99,"Bitcoin price  on Mar 9, 2026? — $69,500 or above",1.0,,0x1e9868469a6c2205d1935b5313a993a60015908763a17248098a43bc4ac25d16,"Will the price of Bitcoin be above $66,000 on March 9?",89.5,10.5
0.8523,88.50,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 10.5¢,KXBTCD-26MAR0917-T75999.99,"Bitcoin price  on Mar 9, 2026? — $76,000 or above",1.0,,0x1e9868469a6c2205d1935b5313a993a60015908763a17248098a43bc4ac25d16,"Will the price of Bitcoin be above $66,000 on March 9?",89.5,10.5
0.8523,88.50,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 10.5¢,KXBTCD-26MAR0906-T75999.99,"Bitcoin price  on Mar 9, 2026? — $76,000 or above",1.0,,0x1e9868469a6c2205d1935b5313a993a60015908763a17248098a43bc4ac25d16,"Will the price of Bitcoin be above $66,000 on March 9?",89.5,10.5
0.8474,88.50,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 10.5¢,KXBTCD-26MAR0917-T76499.99,"Bitcoin price  on Mar 9, 2026? — $76,500 or above",1.0,,0x1e9868469a6c2205d1935b5313a993a60015908763a17248098a43bc4ac25d16,"Will the price of Bitcoin be above $66,000 on March 9?",89.5,10.5
0.8474,88.50,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 10.5¢,KXBTCD-26MAR0906-T76499.99,"Bitcoin price  on Mar 9, 2026? — $76,500 or above",1.0,,0x1e9868469a6c2205d1935b5313a993a60015908763a17248098a43bc4ac25d16,"Will the price of Bitcoin be above $66,000 on March 9?",89.5,10.5
0.8393,88.50,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 10.5¢,KXBTCD-26MAR0906-T72499.99,"Bitcoin price  on Mar 9, 2026? — $72,500 or above",1.0,,0x1e9868469a6c2205d1935b5313a993a60015908763a17248098a43bc4ac25d16,"Will the price of Bitcoin be above $66,000 on March 9?",89.5,10.5
0.8389,88.50,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 10.5¢,KXBTCD-26MAR0906-T74999.99,"Bitcoin price  on Mar 9, 2026? — $75,000 or above",1.0,,0x1e9868469a6c2205d1935b5313a993a60015908763a17248098a43bc4ac25d16,"Will the price of Bitcoin be above $66,000 on March 9?",89.5,10.5
0.8349,88.50,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 10.5¢,KXBTCD-26MAR0906-T69749.99,"Bitcoin price  on Mar 9, 2026? — $69,750 or above",1.0,,0x1e9868469a6c2205d1935b5313a993a60015908763a17248098a43bc4ac25d16,"Will the price of Bitcoin be above $66,000 on March 9?",89.5,10.5
0.8320,88.50,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 10.5¢,KXBTCD-26MAR0906-T75499.99,"Bitcoin price  on Mar 9, 2026? — $75,500 or above",1.0,,0x1e9868469a6c2205d1935b5313a993a60015908763a17248098a43bc4ac25d16,"Will the price of Bitcoin be above $66,000 on March 9?",89.5,10.5
0.8316,88.50,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 10.5¢,KXBTCD-26MAR0906-T73499.99,"Bitcoin price  on Mar 9, 2026? — $73,500 or above",1.0,,0x1e9868469a6c2205d1935b5313a993a60015908763a17248098a43bc4ac25d16,"Will the price of Bitcoin be above $66,000 on March 9?",89.5,10.5
0.8302,88.50,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 10.5¢,KXBTCD-26MAR0906-T74499.99,"Bitcoin price  on Mar 9, 2026? — $74,500 or above",1.0,,0x1e9868469a6c2205d1935b5313a993a60015908763a17248098a43bc4ac25d16,"Will the price of Bitcoin be above $66,000 on March 9?",89.5,10.5
0.9044,88.40,YES on Kalshi @ 7.0¢  +  NO on Polymarket @ 4.6¢,KXFREDDIE-26JUN01,"When will Freddie Mac officially announce an IPO? — Before Jun 1, 2026",7.0,99.0,0x88f380941bf0fc1a485dcf07e006e932724d8a37405b9b0f908d8046a65a006e,"Will Freddie Mac not IPO by June 30, 2026?",95.39999999999999,4.6
0.9025,88.40,YES on Kalshi @ 7.0¢  +  NO on Polymarket @ 4.6¢,KXFREDDIE-26DEC01,"When will Freddie Mac officially announce an IPO? — Before Dec 1, 2026",7.0,,0x88f380941bf0fc1a485dcf07e006e932724d8a37405b9b0f908d8046a65a006e,"Will Freddie Mac not IPO by June 30, 2026?",95.39999999999999,4.6
0.9093,88.00,NO on Kalshi @ 4.0¢  +  YES on Polymarket @ 8.0¢,KXSPACEXCOUNT-26B-120,How many launches will SpaceX have in 2026? — Above 120,98.0,4.0,0xec9e92f27a98bc29028aec518993330e7920ac35f40fdea3c51e11d6ddc6acde,Will SpaceX have 200 or more launches in 2026?,8.0,92.0
0.8727,88.00,NO on Kalshi @ 1.0¢  +  YES on Polymarket @ 11.0¢,KX1ALBUM-26DEC-BRU,Will Bruno Mars have a #1 album this year? — Bruno Mars,,1.0,0xcead60727819ea193aa95ce8ed7f8d22689090c33effb44ea6d361e8100614bd,Will Bruno Mars have a #1 hit in April?,11.0,89.0
0.8454,88.00,YES on Kalshi @ 4.0¢  +  NO on Polymarket @ 8.0¢,KXSENATEDEMLEAD-28JAN01-MWAR,Will Mark Warner win the the next Senate Democratic Leader election? — Mark Warner,4.0,99.0,0x7bb476888a46ccf78be5bba9db6806a789992117eead821edc30ff27dfee08aa,Will Mark Warner be the Democratic nominee for Senate in Virginia?,92.0,8.0
0.8822,87.60,NO on Kalshi @ 10.0¢  +  YES on Polymarket @ 2.4¢,KXFED-27JAN-T1.00,"Will the upper bound of the federal funds rate be above 1.00% following the Fed's Jan 27, 2027 meeting? — Above 1.00%",97.0,10.0,0x857a2ae8088bc256184d6684adfdc7832d072e526c1e8f0d218c1160770c20e9,Will the upper bound of the target federal funds rate be ≤1.0% at the end of 2026?,2.4,97.6
0.8389,87.50,YES on Kalshi @ 2.0¢  +  NO on Polymarket @ 10.5¢,KXBTCD-26MAR0917-T74999.99,"Bitcoin price  on Mar 9, 2026? — $75,000 or above",2.0,99.0,0x1e9868469a6c2205d1935b5313a993a60015908763a17248098a43bc4ac25d16,"Will the price of Bitcoin be above $66,000 on March 9?",89.5,10.5
0.8320,87.50,YES on Kalshi @ 2.0¢  +  NO on Polymarket @ 10.5¢,KXBTCD-26MAR0917-T75499.99,"Bitcoin price  on Mar 9, 2026? — $75,500 or above",2.0,99.0,0x1e9868469a6c2205d1935b5313a993a60015908763a17248098a43bc4ac25d16,"Will the price of Bitcoin be above $66,000 on March 9?",89.5,10.5
0.8316,87.50,YES on Kalshi @ 2.0¢  +  NO on Polymarket @ 10.5¢,KXBTCD-26MAR0917-T73499.99,"Bitcoin price  on Mar 9, 2026? — $73,500 or above",2.0,99.0,0x1e9868469a6c2205d1935b5313a993a60015908763a17248098a43bc4ac25d16,"Will the price of Bitcoin be above $66,000 on March 9?",89.5,10.5
0.8315,87.50,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 11.5¢,KXBTCD-26MAR1317-T82499.99,"Bitcoin price  on Mar 13, 2026? — $82,500 or above",1.0,,0xf4c3dfd126a6e3781ffa8c443b9ff59a892c36dacb898b9dfaf0eda592467b44,"Will the price of Bitcoin be above $62,000 on March 13?",88.5,11.5
0.8302,87.50,YES on Kalshi @ 2.0¢  +  NO on Polymarket @ 10.5¢,KXBTCD-26MAR0917-T74499.99,"Bitcoin price  on Mar 9, 2026? — $74,500 or above",2.0,99.0,0x1e9868469a6c2205d1935b5313a993a60015908763a17248098a43bc4ac25d16,"Will the price of Bitcoin be above $66,000 on March 9?",89.5,10.5
0.9040,87.40,YES on Kalshi @ 8.0¢  +  NO on Polymarket @ 4.6¢,KXFREDDIE-26JUL01,"When will Freddie Mac officially announce an IPO? — Before Jul 1, 2026",8.0,,0x88f380941bf0fc1a485dcf07e006e932724d8a37405b9b0f908d8046a65a006e,"Will Freddie Mac not IPO by June 30, 2026?",95.39999999999999,4.6
0.8980,87.40,YES on Kalshi @ 8.0¢  +  NO on Polymarket @ 4.6¢,KXFREDDIE-27FEB01,"When will Freddie Mac officially announce an IPO? — Before Feb 1, 2027",8.0,,0x88f380941bf0fc1a485dcf07e006e932724d8a37405b9b0f908d8046a65a006e,"Will Freddie Mac not IPO by June 30, 2026?",95.39999999999999,4.6
0.8435,86.90,NO on Kalshi @ 12.0¢  +  YES on Polymarket @ 1.1¢,KXCPIYOY-26MAR-T2.5,Will the rate of CPI inflation be above 2.5% for the year ending in March 2026? — Above 2.5%,97.0,12.0,0x49ddcacf6c172c59598a6dec8e5eff90d971cb612a00c573111b23046cf61ff1,Will annual inflation increase by 2.5% in March?,1.0999999999999999,98.9
0.8465,86.70,YES on Kalshi @ 12.0¢  +  NO on Polymarket @ 1.3¢,KXLEADERUCLGOALS-26-HKAN,Will Harry Kane lead UEFA Champions League in goals scored for the 2025-26 season (including league phase and knockout rounds)? — Harry Kane,12.0,91.0,0x489bfb9597099df16b34140399d2a1517e0a89623dabe94a3fccd4b48cab8bd3,Will Harry Kane be the top goal scorer in the 2025–26 Bundesliga season?,98.7,1.3
0.8392,86.65,YES on Kalshi @ 4.0¢  +  NO on Polymarket @ 9.3¢,KXSERIEA-26-NAP,Will Napoli win the Serie A? — Napoli,4.0,,0xa8e2f123b6001c0f63d2bafa4f654acd1500a413b2e12110686b90c393c49da0,Will Napoli finish in the top 4 in the 2025-26 Serie A season?,90.64999999999999,9.35
0.8688,86.60,NO on Kalshi @ 11.0¢  +  YES on Polymarket @ 2.4¢,KXFED-27MAR-T1.00,"Will the upper bound of the federal funds rate be above 1.00% following the Fed's Mar 17, 2027 meeting? — Above 1.00%",96.0,11.0,0x857a2ae8088bc256184d6684adfdc7832d072e526c1e8f0d218c1160770c20e9,Will the upper bound of the target federal funds rate be ≤1.0% at the end of 2026?,2.4,97.6
